Municipality,Barren Land,Built-up,Cultivated,Forested Land,Forested land,Grassland,Mines & Quarries,Shrubland,Waterbodies,Wetlands
kopanong,0.638477894446292,0.2100344543925476,4.106999081031682,0.0,5.031798311490867,0.603675548491633,0.032835369125535196,0.9406211557889815,0.5038712451914229,0.3622536232962469
kou-kamma,0.23817404504211348,0.9216633274762589,12.051870660970591,2.823661537712593,20.443167030790825,6.283733762594848,0.0,6.076003973801488,0.25940909803362044,1.1339308363125653
kouga,0.6325304652850805,2.221608149972044,21.314074954485744,0.12296795061128675,29.111582008498093,6.529518014377215,0.04469409607261264,10.807041668343643,0.5474199893741618,0.4642026726959911
kwadukuza,0.4320181315966808,13.250988332686703,5.124334986343486,0.37577678890603416,12.953777500234706,8.427316651110138,0.12683770856136564,0.0,0.3991000598704938,0.8732647150226248
laingsburg,19.684400798054433,0.19249112143211144,0.9627333493966079,0.0,0.7049584667557689,5.241317625524494,0.017515185974121477,22.914087241403344,0.07164331687837025,0.0787564226265059
langeberg,8.558187360813596,0.9460617908972876,14.449086875331313,0.0,2.594953582387483,11.388648159667579,0.041856185664443483,10.16770626967143,0.32833758876121755,0.6191369750194091
lekwa,0.2183232969378614,1.0892379532979883,39.08955101154589,0.0,1.0054558108815752,18.202048156847177,0.06880722499549011,0.0,1.5952092009601486,6.3344948479218495
lekwa-teemane,0.10141923500290802,0.6944183067151831,20.51343476683268,0.0,11.159803558128507,7.071533568382329,0.4066328185758885,0.140032265783432,0.4404402296254203,0.00964962666911111
lepele-nkumpi,0.5982316534052726,6.84612820894857,12.503046786746673,0.7148064569685318,25.880849470791727,13.738525109339895,0.10530067381732253,0.0,0.04272807253360159,0.13854389854129195
lephalale,0.39409721354154237,0.6615071921838596,7.3814096196194425,0.0,7.380017573598185,4.923895994425724,0.2915725846141776,0.0,0.2420044800205403,0.46409974909859497
